algorithm,apogee,argOfPerigee,bStar,classificationMarking,elset_created_at,elset_created_by,dataMode,eccentricity,idElset,idOnOrbit,inclination,line1,line2,meanAnomaly,meanMotion,meanMotionDDot,meanMotionDot,origNetwork,perigee,period,raan,revNo,satNo,semiMajorAxis,source,__START_AT,__END_AT,COUNTRY,LAUNCH,LAUNCH_NUM,LAUNCH_PIECE,NORAD_CAT_ID,OBJECT_ID,OBJECT_NAME,OBJECT_NUMBER,OBJECT_TYPE,RCS_SIZE,SATNAME,SITE,satcat_current_fetch_date
SGP4,6926.36,83.1287,4.8712E-5,U,2024-01-31T23:05:15.431Z,system.ob-ingest,REAL,1.489E-4,e825b219-e1b2-4d31-b61a-9524cee65754,48308,53.0565,1 48308U 21036AJ  24031.73536053 +.00000444 +00000+0 +48712-4 0 99993,2 48308  53.0565 299.1000 0001489  83.1287 276.9871 15.06406389153013,276.9871,15.06406389,0.0,4.44E-6,OPS1,6924.298,95.592,299.1,15301,48308,6925.329,18th SPCS,2024-01-31T17:38:55.149792Z,2024-02-01T00:01:04.168416Z,US,2021-04-29,36,AJ,48308,2021-036AJ,STARLINK-2532,48308,PAYLOAD,LARGE,STARLINK-2532,AFETR,2024-08-21
SGP4,6926.473,107.9037,5.2958E-4,U,2024-02-01T07:05:12.851Z,system.ob-ingest,REAL,1.651E-4,f972d399-9cc1-468a-ab6a-71e26adbe83a,48310,53.0537,1 48310U 21036AL  24031.99338124 +.00007617 +00000+0 +52958-3 0 99998,2 48310  53.0537 297.9410 0001651 107.9037 252.2132 15.06406258153051,252.2132,15.06406258,0.0,7.617E-5,OPS1,6924.186,95.592,297.941,15305,48310,6925.329,18th SPCS,2024-01-31T23:50:28.139136Z,2024-02-01T23:43:33.943584Z,US,2021-04-29,36,AL,48310,2021-036AL,STARLINK-2536,48310,PAYLOAD,LARGE,STARLINK-2536,AFETR,2024-08-21
SGP4,6926.528,102.1744,8.4156E-6,U,2024-01-31T15:05:12.816Z,system.ob-ingest,REAL,1.679E-4,4ffef1ce-648c-4039-80ac-6b305b3849c5,48368,53.0544,1 48368U 21038R   24031.45341375 -.00000156 +00000+0 +84156-5 0 99995,2 48368  53.0544 200.6461 0001679 102.1744 257.9433 15.06394545151960,257.9433,15.06394545,0.0,-1.56E-6,OPS1,6924.203,95.592,200.6461,15196,48368,6925.365,18th SPCS,2024-01-31T10:52:54.948000Z,2024-02-01T10:46:00.765408Z,US,2021-05-04,38,R,48368,2021-038R,STARLINK-2623,48368,PAYLOAD,LARGE,STARLINK-2623,AFETR,2024-08-21
SGP4,6926.369,99.9513,5.9446E-5,U,2024-02-01T05:05:14.234Z,system.ob-ingest,REAL,1.498E-4,dc44d51c-b86b-40a0-b405-a13c3bf98a40,48430,53.057,1 48430U 21040C   24031.89338741 +.00000604 +00000+0 +59446-4 0 99999,2 48430  53.0570   3.3937 0001498  99.9513 260.1645 15.06405423151252,260.1645,15.06405423,0.0,6.04E-6,OPS1,6924.295,95.592,3.3937,15125,48430,6925.332,18th SPCS,2024-01-31T21:26:28.672224Z,2024-02-01T03:48:37.416960Z,US,2021-05-09,40,C,48430,2021-040C,STARLINK-2729,48430,PAYLOAD,LARGE,STARLINK-2729,AFETR,2024-08-21
SGP4,6926.374,86.4681,1.199E-4,U,2024-01-31T23:05:15.562Z,system.ob-ingest,REAL,1.45E-4,ba47bbaa-6f1e-4c3b-828b-8fdbe4c2b7f5,48462,53.0557,1 48462U 21040AL  24031.28755728 +.00001505 +00000+0 +11990-3 0 99997,2 48462  53.0557  41.3919 0001450  86.4681 273.6474 15.06393220150674,273.6474,15.0639322,0.0,1.505E-5,OPS1,6924.365,95.593,41.3919,15067,48462,6925.369,18th SPCS,2024-01-31T06:54:04.948992Z,2024-02-01T03:36:04.790880Z,US,2021-05-09,40,AL,48462,2021-040AL,STARLINK-2683,48462,PAYLOAD,LARGE,STARLINK-2683,AFETR,2024-08-21
SGP4,6926.265,94.3066,7.6627E-5,U,2024-01-31T15:05:13.569Z,system.ob-ingest,REAL,1.305E-4,c87ea792-ff6f-4587-839e-8ad276ae400f,48472,53.0546,1 48472U 21040AW  24031.46075571 +.00000860 +00000+0 +76627-4 0 99991,2 48472  53.0546  40.3329 0001305  94.3066 265.8072 15.06395775151148,265.8072,15.06395775,0.0,8.6E-6,OPS1,6924.458,95.592,40.3329,15114,48472,6925.362,18th SPCS,2024-01-31T11:03:29.293344Z,2024-02-01T09:21:02.008512Z,US,2021-05-09,40,AW,48472,2021-040AW,STARLINK-2722,48472,PAYLOAD,LARGE,STARLINK-2722,AFETR,2024-08-21
SGP4,6926.215,120.6126,2.1033E-4,U,2024-01-31T23:05:15.530Z,system.ob-ingest,REAL,1.233E-4,bde7f7d1-2ef2-4d8b-bb4d-012e451eb33b,48571,53.0552,1 48571U 21041U   24031.19628762 +.00002852 +00000+0 +21033-3 0 99991,2 48571  53.0552 351.5183 0001233 120.6126 239.4985 15.06395831149230,239.4985,15.06395831,0.0,2.852E-5,OPS1,6924.507,95.592,351.5183,14923,48571,6925.361,18th SPCS,2024-01-31T04:42:39.250368Z,2024-02-01T04:35:44.977920Z,US,2021-05-15,41,U,48571,2021-041U,STARLINK-2221,48571,PAYLOAD,LARGE,STARLINK-2221,AFETR,2024-08-21
SGP4,6919.088,82.9804,1.1398E-5,U,2024-01-31T15:05:13.738Z,system.ob-ingest,REAL,1.783E-4,53c44e4f-bc6a-458b-a708-2e4d6847fb7f,49420,53.2182,1 49420U 21104N   24031.51477508 -.00000107 +00000+0 +11398-4 0 99997,2 49420  53.2182  77.5905 0001783  82.9804 277.1391 15.08848429123763,277.1391,15.08848429,0.0,-1.07E-6,OPS1,6916.621,95.437,77.5905,12376,49420,6917.855,18th SPCS,2024-01-31T12:21:16.566912Z,2024-02-01T09:01:17.699520Z,US,2021-11-13,104,N,49420,2021-104N,STARLINK-3110,49420,PAYLOAD,LARGE,STARLINK-3110,AFETR,2024-08-21
SGP4,6919.159,128.1529,-5.2235E-5,U,2024-01-31T23:05:16.508Z,system.ob-ingest,REAL,1.884E-4,361ec95c-8540-4db4-b9c4-2633729ba0f1,49428,53.217,1 49428U 21104W   24031.40068035 -.00001120 +00000+0 -52235-4 0 99996,2 49428  53.2170  78.0172 0001884 128.1529 231.9633 15.08847964122656,231.9633,15.08847964,0.0,-1.12E-5,OPS1,6916.553,95.437,78.0172,12265,49428,6917.856,18th SPCS,2024-01-31T09:36:58.782240Z,2024-02-01T09:27:46.632672Z,US,2021-11-13,104,W,49428,2021-104W,STARLINK-3121,49428,PAYLOAD,LARGE,STARLINK-3121,AFETR,2024-08-21
SGP4,6919.026,61.9461,1.0138E-4,U,2024-01-31T23:05:16.491Z,system.ob-ingest,REAL,1.688E-4,e9f97013-ac67-423b-ad25-5e7f024721bc,51121,53.2171,1 51121U 22005T   24031.68316898 +.00001326 +00000+0 +10138-3 0 99994,2 51121  53.2171 136.8469 0001688  61.9461 298.1702 15.08847192114042,298.1702,15.08847192,0.0,1.326E-5,OPS1,6916.691,95.437,136.8469,11404,51121,6917.858,18th SPCS,2024-01-31T16:23:45.799872Z,2024-02-01T11:28:23.947680Z,US,2022-01-19,5,T,51121,2022-005T,STARLINK-3399,51121,PAYLOAD,LARGE,STARLINK-3399,AFETR,2024-08-21
SGP4,6918.819,102.788,3.1324E-5,U,2024-01-31T23:05:16.513Z,system.ob-ingest,REAL,1.347E-4,a80e07d6-c854-45bc-9133-d9a22789e203,51755,53.2176,1 51755U 22016AT  24031.50741720 +.00000211 +00000+0 +31324-4 0 99999,2 51755  53.2176 157.6257 0001347 102.7880 257.3262 15.08837692107737,257.3262,15.08837692,0.0,2.11E-6,OPS1,6916.956,95.438,157.6257,10773,51755,6917.887,18th SPCS,2024-01-31T12:10:40.846080Z,2024-02-01T12:01:28.732800Z,US,2022-02-21,16,AT,51755,2022-016AT,STARLINK-3460,51755,PAYLOAD,LARGE,STARLINK-3460,AFETR,2024-08-21
SGP4,6918.892,98.815,6.8304E-5,U,2024-01-31T15:05:13.757Z,system.ob-ingest,REAL,1.447E-4,e8b7f173-433c-48b3-99d3-1cb020199aa7,51806,53.2172,1 51806U 22017AQ  24031.44577381 +.00000799 +00000+0 +68304-4 0 99999,2 51806  53.2172 187.9034 0001447  98.8150 261.3006 15.08836410108082,261.3006,15.0883641,0.0,7.99E-6,OPS1,6916.89,95.438,187.9034,10808,51806,6917.891,18th SPCS,2024-01-31T10:41:54.857184Z,2024-02-01T10:32:42.293760Z,US,2022-02-25,17,AQ,51806,2022-017AQ,STARLINK-3581,51806,PAYLOAD,LARGE,STARLINK-3581,AFWTR,2024-08-21
SGP4,6918.655,90.2597,1.0984E-4,U,2024-02-01T07:05:14.477Z,system.ob-ingest,REAL,1.092E-4,5719628b-f3a8-4885-aebc-3e3437434865,51873,53.2161,1 51873U 22022X   24031.94813668 +.00001460 +00000+0 +10984-3 0 99991,2 51873  53.2161 215.6560 0001092  90.2597 269.8520 15.08833608107218,269.852,15.08833608,0.0,1.46E-5,OPS1,6917.144,95.438,215.656,10721,51873,6917.9,18th SPCS,2024-01-31T22:45:19.009152Z,2024-02-01T21:00:42.630624Z,US,2022-03-03,22,X,51873,2022-022X,STARLINK-3582,51873,PAYLOAD,LARGE,STARLINK-3582,AFETR,2024-08-21
SGP4,6918.993,70.9168,6.083E-5,U,2024-01-31T23:05:16.707Z,system.ob-ingest,REAL,1.599E-4,0a8688d1-35e9-43f2-8204-c972dc5d2fb5,52113,53.2167,1 52113U 22029AB  24031.68682077 +.00000680 +00000+0 +60830-4 0 99994,2 52113  53.2167 286.8253 0001599  70.9168 289.1998 15.08837772104848,289.1998,15.08837772,0.0,6.8E-6,OPS1,6916.781,95.438,286.8253,10484,52113,6917.887,18th SPCS,2024-01-31T16:29:01.314528Z,2024-02-01T00:25:57.462816Z,US,2022-03-19,29,AB,52113,2022-029AB,STARLINK-3736,52113,PAYLOAD,LARGE,STARLINK-3736,AFETR,2024-08-21
SGP4,6918.831,114.3013,-7.1394E-5,U,2024-02-01T05:05:14.532Z,system.ob-ingest,REAL,1.414E-4,d14b5769-45da-4b4f-a5ca-fcaef8ee16b2,52261,53.2168,1 52261U 22041A   24031.79174264 -.00001424 +00000+0 -71394-4 0 99994,2 52261  53.2168 316.3622 0001414 114.3013 245.8127 15.08848922098439,245.8127,15.08848922,0.0,-1.424E-5,OPS1,6916.875,95.437,316.3622,9843,52261,6917.853,18th SPCS,2024-01-31T19:00:06.564096Z,2024-02-01T01:21:39.378528Z,US,2022-04-21,41,A,52261,2022-041A,STARLINK-3810,52261,PAYLOAD,LARGE,STARLINK-3810,AFETR,2024-08-21
